Date,Open,High,Low,Close,Volume,Return
5/1/1998,1111.75,1121.02,1111.75,1121,323316667,
5/4/1998,1121,1130.52,1121,1122.07,306500000,0.000954505
5/5/1998,1122.07,1122.07,1111.16,1115.5,324238889,-0.00585525
5/6/1998,1115.5,1118.39,1104.64,1104.92,336966667,-0.009484536
5/7/1998,1104.92,1105.58,1094.59,1095.14,323466667,-0.00885132
5/8/1998,1095.14,1111.42,1094.53,1108.14,315494444,0.011870628
5/11/1998,1108.14,1119.13,1103.72,1106.64,311577778,-0.00135362
5/12/1998,1106.64,1115.96,1102.78,1115.79,335788889,0.008268272
5/13/1998,1115.79,1122.22,1114.93,1118.86,333338889,0.002751414
5/14/1998,1118.86,1124.03,1112.43,1117.37,321322222,-0.001331713
5/15/1998,1117.37,1118.66,1107.11,1108.73,345550000,-0.007732443
5/18/1998,1108.73,1112.44,1097.99,1105.82,288388889,-0.002624625
5/19/1998,1105.82,1113.5,1105.82,1109.52,314455556,0.003345933
5/20/1998,1109.52,1119.08,1107.51,1119.06,326244444,0.008598313
5/21/1998,1119.06,1124.45,1111.94,1114.64,306650000,-0.003949744
5/22/1998,1114.64,1116.89,1107.99,1110.47,246705556,-0.003741118
5/26/1998,1110.47,1116.79,1094.01,1094.02,300783333,-0.014813547
5/27/1998,1094.02,1094.44,1074.39,1092.23,378911111,-0.001636168
5/28/1998,1092.23,1099.73,1089.06,1097.6,327166667,0.004916547
5/29/1998,1097.6,1104.16,1090.82,1090.82,309322222,-0.006177114
6/1/1998,1090.82,1097.85,1084.22,1090.98,298700000,0.000146679
6/2/1998,1090.98,1098.71,1089.67,1093.22,328294444,0.0020532
6/3/1998,1093.22,1097.43,1081.09,1082.73,324711111,-0.009595507
6/4/1998,1082.73,1095.93,1078.1,1094.83,320816667,0.011175455
6/5/1998,1095.1,1113.88,1094.83,1113.86,310244444,0.017381694
6/8/1998,1113.86,1119.7,1113.31,1115.72,301883333,0.001669869
6/9/1998,1115.72,1119.92,1111.31,1118.41,313116667,0.002410999
6/10/1998,1118.41,1126,1110.27,1112.28,338561111,-0.005480995
6/11/1998,1112.28,1114.2,1094.28,1094.58,348594444,-0.015913259
6/12/1998,1094.58,1098.84,1080.83,1098.84,351833333,0.003891904
6/15/1998,1098.84,1098.84,1077.01,1077.01,331011111,-0.019866405
6/16/1998,1077.01,1087.59,1074.67,1087.59,369222222,0.009823493
6/17/1998,1087.59,1112.87,1087.58,1107.11,413555556,0.01794794
6/18/1998,1107.11,1109.36,1103.71,1106.37,328022222,-0.000668407
6/19/1998,1106.37,1111.25,1097.1,1100.65,397500000,-0.005170061
6/22/1998,1100.65,1109.01,1099.42,1103.21,295305556,0.002325898
6/23/1998,1103.21,1119.49,1103.21,1119.49,365055556,0.014756937
6/24/1998,1119.49,1134.4,1115.1,1132.88,397166667,0.011960804
6/25/1998,1132.88,1142.04,1127.6,1129.28,372166667,-0.003177742
6/26/1998,1129.28,1136.83,1129.28,1133.2,288916667,0.003471238
6/29/1998,1133.2,1145.15,1133.2,1138.49,313527778,0.004668196
6/30/1998,1138.49,1140.8,1131.98,1133.84,420666667,-0.004084357
7/1/1998,1133.84,1148.56,1133.84,1148.56,389777778,0.012982431
7/2/1998,1148.56,1148.56,1142.99,1146.42,283450000,-0.001863203
7/6/1998,1146.42,1157.33,1145.03,1157.33,285972222,0.009516582
7/7/1998,1157.33,1159.81,1152.85,1154.66,347161111,-0.002307034
7/8/1998,1154.66,1166.89,1154.66,1166.38,337350000,0.010150174
7/9/1998,1166.38,1166.38,1156.03,1158.56,368666667,-0.006704505
7/10/1998,1158.57,1166.93,1150.88,1164.33,320044444,0.00498032
7/13/1998,1164.33,1166.98,1160.21,1165.19,319377778,0.000738622
7/14/1998,1165.19,1179.76,1165.19,1177.58,389055556,0.010633459
7/15/1998,1177.58,1181.48,1174.73,1174.81,402166667,-0.002352282
7/16/1998,1174.81,1184.02,1170.4,1183.99,376555556,0.00781403
7/17/1998,1183.99,1188.1,1182.42,1186.75,343350000,0.002331101
7/20/1998,1186.75,1190.58,1179.19,1184.1,311433333,-0.002232989
7/21/1998,1184.1,1187.37,1163.05,1165.07,366500000,-0.016071278
